,index,DATE_TIME,YEAR,CLASSIFICATION,NUMBER_OF_PEDESTRIANS,PEDESTRIAN,Season,Weekday,Hour
0,981,2013-01-17 04:00:00,2013,01 - Fatal injury,0.0,0,Winter,3,4
1,2295,2013-03-10 12:41:00,2013,01 - Fatal injury,0.0,0,Winter,6,12
2,5182,2013-05-26 23:39:00,2013,01 - Fatal injury,0.0,0,Spring,6,23
3,5320,2013-05-20 19:19:00,2013,01 - Fatal injury,0.0,0,Spring,0,19
4,6170,2013-07-11 11:21:00,2013,01 - Fatal injury,0.0,0,Summer,3,11
5,7098,2013-08-11 10:33:00,2013,01 - Fatal injury,1.0,1,Summer,6,10
6,7386,2013-07-21 06:12:00,2013,01 - Fatal injury,0.0,0,Summer,6,6
7,7556,2013-07-23 23:09:00,2013,01 - Fatal injury,1.0,1,Summer,1,23
8,7987,2013-07-30 23:15:00,2013,01 - Fatal injury,0.0,0,Summer,1,23
9,8242,2013-08-22 19:25:00,2013,01 - Fatal injury,0.0,0,Summer,3,19
10,9742,2013-09-18 13:48:00,2013,01 - Fatal injury,0.0,0,Summer,2,13
11,9908,2013-10-02 08:53:00,2013,01 - Fatal injury,0.0,0,Autumn,2,8
12,10220,2013-10-28 14:06:00,2013,01 - Fatal injury,1.0,1,Autumn,0,14
13,10570,2013-10-15 17:30:00,2013,01 - Fatal injury,1.0,1,Autumn,1,17
14,10635,2013-10-17 12:51:00,2013,01 - Fatal injury,0.0,0,Autumn,3,12
15,11885,2013-11-17 20:35:00,2013,01 - Fatal injury,0.0,0,Autumn,6,20
16,11895,2013-11-17 02:35:00,2013,01 - Fatal injury,0.0,0,Autumn,6,2
17,13070,2013-04-29 23:00:00,2013,01 - Fatal injury,0.0,0,Spring,0,23
18,13887,2013-12-31 22:17:00,2013,01 - Fatal injury,1.0,1,Winter,1,22
19,14565,2013-08-11 07:05:00,2013,01 - Fatal injury,0.0,0,Summer,6,7
20,14954,2013-12-10 12:41:00,2013,01 - Fatal injury,0.0,0,Autumn,1,12
21,17585,2014-02-21 11:07:00,2014,01 - Fatal injury,1.0,1,Winter,4,11
22,18057,2014-02-15 04:19:00,2014,01 - Fatal injury,0.0,0,Winter,5,4
23,18079,2014-02-17 05:53:00,2014,01 - Fatal injury,0.0,0,Winter,0,5
24,19389,2014-04-22 21:17:00,2014,01 - Fatal injury,1.0,1,Spring,1,21
25,19631,2014-04-19 15:22:00,2014,01 - Fatal injury,1.0,1,Spring,5,15
26,21456,2014-06-20 04:15:00,2014,01 - Fatal injury,0.0,0,Spring,4,4
27,21900,2014-07-12 10:25:00,2014,01 - Fatal injury,0.0,0,Summer,5,10
28,22572,2014-08-02 18:55:00,2014,01 - Fatal injury,0.0,0,Summer,5,18
29,22654,2014-08-05 01:05:00,2014,01 - Fatal injury,0.0,0,Summer,1,1
30,22767,2014-07-27 18:10:00,2014,01 - Fatal injury,0.0,0,Summer,6,18
31,22939,2014-08-07 02:46:00,2014,01 - Fatal injury,0.0,0,Summer,3,2
32,22987,2014-08-12 03:18:00,2014,01 - Fatal injury,1.0,1,Summer,1,3
33,23125,2014-07-29 21:31:00,2014,01 - Fatal injury,0.0,0,Summer,1,21
34,23992,2014-09-06 15:58:00,2014,01 - Fatal injury,0.0,0,Summer,5,15
35,25391,2014-10-18 10:28:00,2014,01 - Fatal injury,0.0,0,Autumn,5,10
36,25536,2014-11-03 11:52:00,2014,01 - Fatal injury,1.0,1,Autumn,0,11
37,25780,2014-10-24 11:54:00,2014,01 - Fatal injury,0.0,0,Autumn,4,11
38,26191,2014-11-27 13:26:00,2014,01 - Fatal injury,0.0,0,Autumn,3,13
39,26257,2014-11-28 22:50:00,2014,01 - Fatal injury,1.0,1,Autumn,4,22
40,26760,2014-11-29 23:36:00,2014,01 - Fatal injury,1.0,1,Autumn,5,23
41,26857,2014-11-21 20:47:00,2014,01 - Fatal injury,0.0,0,Autumn,4,20
42,27654,2014-12-19 15:53:00,2014,01 - Fatal injury,1.0,1,Autumn,4,15
43,27798,2014-12-12 23:46:00,2014,01 - Fatal injury,0.0,0,Autumn,4,23
44,29156,2014-09-17 12:45:00,2014,01 - Fatal injury,0.0,0,Summer,2,12
45,29308,2014-08-25 17:15:00,2014,01 - Fatal injury,0.0,0,Summer,0,17
46,29494,2014-07-23 00:14:00,2014,01 - Fatal injury,0.0,0,Summer,2,0
47,29587,2014-10-31 04:36:00,2014,01 - Fatal injury,1.0,1,Autumn,4,4
48,29594,2014-11-03 16:15:00,2014,01 - Fatal injury,0.0,0,Autumn,0,16
49,34051,2015-04-09 20:34:00,2015,01 - Fatal injury,0.0,0,Spring,3,20
50,34980,2015-04-14 21:15:00,2015,01 - Fatal injury,1.0,1,Spring,1,21
51,35045,2015-05-15 15:29:00,2015,01 - Fatal injury,0.0,0,Spring,4,15
52,35148,2015-05-08 20:48:00,2015,01 - Fatal injury,0.0,0,Spring,4,20
53,35178,2015-05-09 12:11:00,2015,01 - Fatal injury,0.0,0,Spring,5,12
54,35493,2015-04-26 08:50:00,2015,01 - Fatal injury,0.0,0,Spring,6,8
55,35501,2015-04-26 17:52:00,2015,01 - Fatal injury,0.0,0,Spring,6,17
56,37372,2015-07-08 02:58:00,2015,01 - Fatal injury,1.0,1,Summer,2,2
57,37580,2015-06-28 10:50:00,2015,01 - Fatal injury,0.0,0,Summer,6,10
58,38081,2015-07-31 02:28:00,2015,01 - Fatal injury,0.0,0,Summer,4,2
59,38486,2015-08-02 04:42:00,2015,01 - Fatal injury,1.0,1,Summer,6,4
60,38954,2015-08-20 18:20:00,2015,01 - Fatal injury,1.0,1,Summer,3,18
61,39004,2015-09-06 19:07:00,2015,01 - Fatal injury,0.0,0,Summer,6,19
62,41031,2015-11-12 00:07:00,2015,01 - Fatal injury,1.0,1,Autumn,3,0
63,41633,2015-11-08 19:00:00,2015,01 - Fatal injury,0.0,0,Autumn,6,19
64,41950,2015-11-16 18:08:00,2015,01 - Fatal injury,0.0,0,Autumn,0,18
65,43815,2015-12-25 21:12:00,2015,01 - Fatal injury,0.0,0,Winter,4,21
66,44042,2015-07-01 03:50:00,2015,01 - Fatal injury,1.0,1,Summer,2,3
67,44305,2015-08-13 01:06:00,2015,01 - Fatal injury,0.0,0,Summer,3,1
68,45035,2015-12-04 14:18:00,2015,01 - Fatal injury,0.0,0,Autumn,4,14
69,45730,2016-01-11 15:00:00,2016,01 - Fatal injury,1.0,1,Winter,0,15
70,45754,2016-01-11 21:33:00,2016,01 - Fatal injury,0.0,0,Winter,0,21
71,48388,2016-04-12 06:17:00,2016,01 - Fatal injury,0.0,0,Spring,1,6
72,48709,2016-03-23 23:33:00,2016,01 - Fatal injury,0.0,0,Spring,2,23
73,49757,2016-05-21 06:36:00,2016,01 - Fatal injury,0.0,0,Spring,5,6
74,51245,2016-07-17 21:35:00,2016,01 - Fatal injury,0.0,0,Summer,6,21
75,51402,2016-07-15 14:46:00,2016,01 - Fatal injury,0.0,0,Summer,4,14
76,51433,2016-07-22 19:13:00,2016,01 - Fatal injury,1.0,1,Summer,4,19
77,52305,2016-08-05 19:25:00,2016,01 - Fatal injury,0.0,0,Summer,4,19
78,52531,2016-07-30 01:58:00,2016,01 - Fatal injury,0.0,0,Summer,5,1
79,53018,2016-08-30 14:52:00,2016,01 - Fatal injury,0.0,0,Summer,1,14
80,53425,2016-09-16 23:46:00,2016,01 - Fatal injury,0.0,0,Summer,4,23
81,53626,2016-08-31 18:48:00,2016,01 - Fatal injury,0.0,0,Summer,2,18
82,53649,2016-09-01 12:49:00,2016,01 - Fatal injury,0.0,0,Summer,3,12
83,53825,2016-09-22 00:42:00,2016,01 - Fatal injury,1.0,1,Summer,3,0
84,54473,2016-10-30 22:35:00,2016,01 - Fatal injury,0.0,0,Autumn,6,22
85,54476,2016-10-30 00:06:00,2016,01 - Fatal injury,0.0,0,Autumn,6,0
86,54582,2016-10-21 02:03:00,2016,01 - Fatal injury,1.0,1,Autumn,4,2
87,54953,2016-10-24 19:39:00,2016,01 - Fatal injury,0.0,0,Autumn,0,19
88,56222,2016-12-09 13:09:00,2016,01 - Fatal injury,0.0,0,Autumn,4,13
89,56562,2016-12-15 07:51:00,2016,01 - Fatal injury,0.0,0,Autumn,3,7
90,57035,2016-12-04 02:21:00,2016,01 - Fatal injury,0.0,0,Autumn,6,2
91,57192,2016-12-29 18:32:00,2016,01 - Fatal injury,0.0,0,Winter,3,18
92,57253,2016-01-06 13:13:00,2016,01 - Fatal injury,0.0,0,Winter,2,13
93,59196,2018-01-17 08:34:00,2018,01 - Fatal injury,1.0,1,Winter,2,8
94,59323,2018-01-12 12:20:00,2018,01 - Fatal injury,0.0,0,Winter,4,12
95,60366,2018-02-09 01:19:00,2018,01 - Fatal injury,0.0,0,Winter,4,1
96,60371,2018-02-09 09:47:00,2018,01 - Fatal injury,1.0,1,Winter,4,9
97,60408,2018-02-09 06:40:00,2018,01 - Fatal injury,0.0,0,Winter,4,6
98,61282,2018-02-20 08:24:00,2018,01 - Fatal injury,0.0,0,Winter,1,8
99,62409,2018-04-02 11:40:00,2018,01 - Fatal injury,0.0,0,Spring,0,11
100,62748,2018-03-23 12:19:00,2018,01 - Fatal injury,1.0,1,Spring,4,12
101,63667,2018-05-14 01:22:00,2018,01 - Fatal injury,1.0,1,Spring,0,1
102,63696,2018-04-30 09:39:00,2018,01 - Fatal injury,0.0,0,Spring,0,9
103,64004,2018-05-13 03:17:00,2018,01 - Fatal injury,0.0,0,Spring,6,3
104,64100,2018-04-29 04:26:00,2018,01 - Fatal injury,0.0,0,Spring,6,4
105,64529,2018-06-21 11:30:00,2018,01 - Fatal injury,0.0,0,Summer,3,11
106,66012,2018-07-26 04:11:00,2018,01 - Fatal injury,0.0,0,Summer,3,4
107,66172,2018-08-25 01:17:00,2018,01 - Fatal injury,0.0,0,Summer,5,1
108,67247,2018-09-12 04:44:00,2018,01 - Fatal injury,0.0,0,Summer,2,4
109,67689,2018-09-07 09:05:00,2018,01 - Fatal injury,1.0,1,Summer,4,9
110,68442,2018-10-28 09:57:00,2018,01 - Fatal injury,0.0,0,Autumn,6,9
111,68932,2018-10-09 07:13:00,2018,01 - Fatal injury,1.0,1,Autumn,1,7
112,69825,2018-11-06 10:40:00,2018,01 - Fatal injury,0.0,0,Autumn,1,10
113,70852,2018-12-04 11:03:00,2018,01 - Fatal injury,0.0,0,Autumn,1,11
114,70973,2018-11-23 07:46:00,2018,01 - Fatal injury,1.0,1,Autumn,4,7
115,71722,2018-12-07 06:45:00,2018,01 - Fatal injury,0.0,0,Autumn,4,6
116,72210,2018-06-18 05:40:00,2018,01 - Fatal injury,0.0,0,Spring,0,5
117,72518,2018-07-29 10:33:00,2018,01 - Fatal injury,1.0,1,Summer,6,10
118,72797,2018-08-23 09:12:00,2018,01 - Fatal injury,0.0,0,Summer,3,9
119,73614,2019-01-10 07:42:00,2019,01 - Fatal injury,0.0,0,Winter,3,7
120,74411,2019-01-11 15:51:00,2019,01 - Fatal injury,0.0,0,Winter,4,15
121,74630,2019-01-28 17:50:00,2019,01 - Fatal injury,1.0,1,Winter,0,17
122,75967,2019-02-14 16:59:00,2019,01 - Fatal injury,1.0,1,Winter,3,16
123,77473,2019-03-03 18:29:00,2019,01 - Fatal injury,1.0,1,Winter,6,18
124,78238,2019-04-18 17:28:00,2019,01 - Fatal injury,1.0,1,Spring,3,17
125,79050,2019-05-16 07:20:00,2019,01 - Fatal injury,0.0,0,Spring,3,7
126,79478,2019-05-18 16:09:00,2019,01 - Fatal injury,0.0,0,Spring,5,16
127,79682,2019-06-24 06:40:00,2019,01 - Fatal injury,0.0,0,Summer,0,6
128,80886,2019-07-10 01:17:00,2019,01 - Fatal injury,0.0,0,Summer,2,1
129,80931,2019-07-23 17:21:00,2019,01 - Fatal injury,0.0,0,Summer,1,17
130,81093,2019-07-15 20:52:00,2019,01 - Fatal injury,0.0,0,Summer,0,20
131,81262,2019-07-06 00:06:00,2019,01 - Fatal injury,0.0,0,Summer,5,0
132,82313,2019-08-07 11:05:00,2019,01 - Fatal injury,0.0,0,Summer,2,11
133,82496,2019-08-19 07:00:00,2019,01 - Fatal injury,1.0,1,Summer,0,7
134,83330,2019-09-13 08:07:00,2019,01 - Fatal injury,0.0,0,Summer,4,8
135,83416,2019-08-29 18:43:00,2019,01 - Fatal injury,0.0,0,Summer,3,18
136,84589,2019-09-24 07:54:00,2019,01 - Fatal injury,1.0,1,Autumn,1,7
137,85540,2019-10-28 17:56:00,2019,01 - Fatal injury,0.0,0,Autumn,0,17
138,86829,2019-12-13 17:10:00,2019,01 - Fatal injury,1.0,1,Autumn,4,17
139,88932,2019-08-17 11:36:00,2019,01 - Fatal injury,0.0,0,Summer,5,11
140,89075,2019-09-17 02:29:00,2019,01 - Fatal injury,0.0,0,Summer,1,2
141,89283,2019-03-24 00:25:00,2019,01 - Fatal injury,0.0,0,Spring,6,0
142,89320,2019-04-06 14:00:00,2019,01 - Fatal injury,0.0,0,Spring,5,14
143,89340,2019-09-19 11:38:00,2019,01 - Fatal injury,1.0,1,Summer,3,11
